symbol,name,period,no_of_analysts,avg_estimate,low_estimate,high_estimate,year_ago_eps,current_next,quarter_year
CRM,Salesforce.Com Inc,Current_Quarter,39.0,1.37,1.32,1.46,0.84,Current,Quarter
CRM,Salesforce.Com Inc,Next_Quarter,35.0,1.31,1.04,1.54,0.98,Next,Quarter
CRM,Salesforce.Com Inc,Current_Year,46.0,4.93,4.89,5.02,4.78,Current,Year
CRM,Salesforce.Com Inc,Next_Year,47.0,5.8,4.65,6.78,4.93,Next,Year
WBA,Walgreens Boots Alliance Inc,Current_Quarter,12.0,1.1,1.08,1.13,1.59,Current,Quarter
WBA,Walgreens Boots Alliance Inc,Next_Quarter,12.0,1.12,1.08,1.19,0.96,Next,Quarter
WBA,Walgreens Boots Alliance Inc,Current_Year,13.0,4.5,4.42,4.6,5.04,Current,Year
WBA,Walgreens Boots Alliance Inc,Next_Year,12.0,4.83,4.72,5.14,4.5,Next,Year
V,Visa Inc,Current_Quarter,28.0,1.98,1.89,2.03,1.79,Current,Quarter
V,Visa Inc,Next_Quarter,28.0,2.09,2.0,2.22,1.98,Next,Quarter
V,Visa Inc,Current_Year,31.0,8.44,7.95,8.79,7.5,Current,Year
V,Visa Inc,Next_Year,34.0,9.67,8.73,10.18,8.44,Next,Year
NKE,Nike Inc,Current_Quarter,26.0,0.54,0.4,0.69,0.87,Current,Quarter
NKE,Nike Inc,Next_Quarter,26.0,0.8,0.61,1.08,0.9,Next,Quarter
NKE,Nike Inc,Current_Year,33.0,3.14,2.92,3.56,3.75,Current,Year
NKE,Nike Inc,Next_Year,33.0,4.0,3.1,4.75,3.14,Next,Year
UNH,UnitedHealth Group Inc,Current_Quarter,21.0,6.13,5.39,7.33,5.49,Current,Quarter
UNH,UnitedHealth Group Inc,Next_Quarter,21.0,6.25,4.91,6.55,5.57,Next,Quarter
UNH,UnitedHealth Group Inc,Current_Year,24.0,24.93,24.65,25.23,22.19,Current,Year
UNH,UnitedHealth Group Inc,Next_Year,23.0,28.28,27.5,29.31,24.93,Next,Year
TRV,Travelers Companies Inc,Current_Quarter,20.0,3.68,3.0,4.17,4.22,Current,Quarter
TRV,Travelers Companies Inc,Next_Quarter,19.0,2.6,1.99,2.99,2.57,Next,Quarter
TRV,Travelers Companies Inc,Current_Year,21.0,14.37,13.5,15.25,12.42,Current,Year
TRV,Travelers Companies Inc,Next_Year,21.0,16.76,15.72,18.05,14.37,Next,Year
VZ,Verizon Communications Inc,Current_Quarter,19.0,1.19,1.12,1.23,1.35,Current,Quarter
VZ,Verizon Communications Inc,Next_Quarter,18.0,1.18,1.13,1.25,1.31,Next,Quarter
VZ,Verizon Communications Inc,Current_Year,23.0,4.7,4.55,4.89,5.18,Current,Year
VZ,Verizon Communications Inc,Next_Year,22.0,4.74,4.25,4.96,4.7,Next,Year
INTC,Intel Corp,Current_Quarter,28.0,-0.15,-0.22,-0.11,0.87,Current,Quarter
INTC,Intel Corp,Next_Quarter,28.0,0.02,-0.18,0.32,0.29,Next,Quarter
INTC,Intel Corp,Current_Year,34.0,0.55,-0.19,1.44,1.84,Current,Year
