symbol,name,sector,headquarter,founded,fulltimeemployees,website,image
CRM,Salesforce.Com Inc,Technology,"San Francisco, CALIFORNIA",2004-06-23,73541,https://www.salesforce.com,https://financialmodelingprep.com/image-stock/CRM.png
WBA,Walgreens Boots Alliance Inc,Healthcare,"Deerfield, ILLINOIS",2014-12-31,325000,https://www.walgreensbootsalliance.com,https://financialmodelingprep.com/image-stock/WBA.png
V,Visa Inc,Financial Services,"San Francisco, CALIFORNIA",2008-03-19,26500,https://usa.visa.com,https://financialmodelingprep.com/image-stock/V.png
NKE,Nike Inc,Consumer Cyclical,"Beaverton, OREGON",1990-10-17,79100,https://investors.nike.com,https://financialmodelingprep.com/image-stock/NKE.png
UNH,UnitedHealth Group Inc,Healthcare,"Hopkins, MINNESOTA",1984-10-17,350000,https://www.unitedhealthgroup.com,https://financialmodelingprep.com/image-stock/UNH.png
TRV,Travelers Companies Inc,Financial Services,"Saint Paul, MINNESOTA",1991-11-08,30184,https://www.travelers.com,https://financialmodelingprep.com/image-stock/TRV.png
VZ,Verizon Communications Inc,Communication Services,"New York City, NEW YORK",1984-02-15,119500,https://www.verizon.com,https://financialmodelingprep.com/image-stock/VZ.png
INTC,Intel Corp,Technology,"Santa Clara, CALIFORNIA",1971-10-13,121100,https://www.intel.com,https://financialmodelingprep.com/image-stock/INTC.png
WMT,Walmart Inc,Consumer Defensive,"Bentonville, ARKANSAS",1972-08-25,2300000,https://www.stock.walmart.com,https://financialmodelingprep.com/image-stock/WMT.png
JNJ,Johnson & Johnson,Healthcare,"New Brunswick, NEW JERSEY",1944-09-25,141700,https://www.jnj.com,https://financialmodelingprep.com/image-stock/JNJ.png
DIS,Walt Disney Co,Consumer Cyclical,"Burbank, CALIFORNIA",1957-11-12,171600,https://www.thewaltdisneycompany.com,https://financialmodelingprep.com/image-stock/DIS.png
MCD,Mcdonald's Corp,Consumer Cyclical,"Chicago, ILLINOIS",1966-07-05,100000,https://corporate.mcdonalds.com,https://financialmodelingprep.com/image-stock/MCD.png
JPM,JPMorgan Chase & Co,Financial Services,"New York City, NEW YORK",1969-03-05,293723,https://www.jpmorganchase.com,https://financialmodelingprep.com/image-stock/JPM.png
CAT,Caterpillar Inc,Industrials,"Deerfield, ILLINOIS",1929-12-02,107700,https://www.caterpillar.com,https://financialmodelingprep.com/image-stock/CAT.png
BA,Boeing Co,Industrials,"Chicago, ILLINOIS",1934-09-05,142000,https://www.boeing.com,https://financialmodelingprep.com/image-stock/BA.png
AMGN,Amgen Inc,Healthcare,"Thousand Oaks, CALIFORNIA",1987-05-01,24200,https://www.amgen.com,https://financialmodelingprep.com/image-stock/AMGN.png
DOW,Dow Inc,Basic Materials,"Midland, MICHIGAN",2019-03-20,35700,https://www.dow.com,https://financialmodelingprep.com/image-stock/DOW.png
AAPL,Apple Inc,Technology,"Cupertino, CALIFORNIA",1980-12-12,164000,https://www.apple.com,https://financialmodelingprep.com/image-stock/AAPL.png
GS,Goldman Sachs Group Inc,Financial Services,"New York City, NEW YORK",1999-05-04,48500,https://www.goldmansachs.com,https://financialmodelingprep.com/image-stock/GS.png
CSCO,Cisco Systems Inc,Technology,"San Jose, CALIFORNIA",1990-02-01,83300,https://www.cisco.com,https://financialmodelingprep.com/image-stock/CSCO.png
MSFT,Microsoft Corp,Technology,"Redmond, WASHINGTON",1986-03-13,221000,https://www.microsoft.com,https://financialmodelingprep.com/image-stock/MSFT.png
HD,Home Depot Inc,Consumer Cyclical,"Atlanta, GEORGIA",1984-04-19,500000,https://www.homedepot.com,https://financialmodelingprep.com/image-stock/HD.png
PG,Procter & Gamble Co,Consumer Defensive,"Cincinnati, OHIO",1950-03-22,106000,https://www.pginvestor.com,https://financialmodelingprep.com/image-stock/PG.png
MRK,Merck & Co Inc,Healthcare,"Kenilworth, NEW JERSEY",1946-06-15,67000,https://www.merck.com,https://financialmodelingprep.com/image-stock/MRK.png
IBM,International Business Machines Corp,Technology,"Armonk, NEW YORK",1915-11-11,282100,https://www.ibm.com,https://financialmodelingprep.com/image-stock/IBM.png
HON,Honeywell International Inc,Industrials,"Charlotte, NORTH CAROLINA",1985-09-19,99000,https://www.honeywell.com,https://financialmodelingprep.com/image-stock/HON.png
KO,Coca-Cola Co,Consumer Defensive,"Atlanta, GEORGIA",1919-09-05,79000,https://www.coca-colacompany.com,https://financialmodelingprep.com/image-stock/KO.png
CVX,Chevron Corp,Energy,"San Ramon, CALIFORNIA",1921-06-24,42595,https://www.chevron.com,https://financialmodelingprep.com/image-stock/CVX.png
AXP,American Express Co,Financial Services,"New York City, NEW YORK",1977-05-18,64000,https://www.americanexpress.com,https://financialmodelingprep.com/image-stock/AXP.png
MMM,3M Co,Industrials,"Saint Paul, MINNESOTA",1946-01-14,95000,https://www.3m.com,https://financialmodelingprep.com/image-stock/MMM.png
