name,variable,value
Salesforce.Com Inc,Symbol,CRM
Walgreens Boots Alliance Inc,Symbol,WBA
Visa Inc,Symbol,V
Nike Inc,Symbol,NKE
UnitedHealth Group Inc,Symbol,UNH
Travelers Companies Inc,Symbol,TRV
Verizon Communications Inc,Symbol,VZ
Intel Corp,Symbol,INTC
Walmart Inc,Symbol,WMT
Johnson & Johnson,Symbol,JNJ
Walt Disney Co,Symbol,DIS
Mcdonald's Corp,Symbol,MCD
JPMorgan Chase & Co,Symbol,JPM
Caterpillar Inc,Symbol,CAT
Boeing Co,Symbol,BA
Amgen Inc,Symbol,AMGN
Dow Inc,Symbol,DOW
Apple Inc,Symbol,AAPL
Goldman Sachs Group Inc,Symbol,GS
Cisco Systems Inc,Symbol,CSCO
Microsoft Corp,Symbol,MSFT
Home Depot Inc,Symbol,HD
Procter & Gamble Co,Symbol,PG
Merck & Co Inc,Symbol,MRK
International Business Machines Corp,Symbol,IBM
Honeywell International Inc,Symbol,HON
Coca-Cola Co,Symbol,KO
Chevron Corp,Symbol,CVX
American Express Co,Symbol,AXP
3M Co,Symbol,MMM
Salesforce.Com Inc,Sector,Technology
Walgreens Boots Alliance Inc,Sector,Healthcare
Visa Inc,Sector,Financial Services
Nike Inc,Sector,Consumer Cyclical
UnitedHealth Group Inc,Sector,Healthcare
Travelers Companies Inc,Sector,Financial Services
Verizon Communications Inc,Sector,Communication Services
Intel Corp,Sector,Technology
Walmart Inc,Sector,Consumer Defensive
Johnson & Johnson,Sector,Healthcare
Walt Disney Co,Sector,Consumer Cyclical
Mcdonald's Corp,Sector,Consumer Cyclical
JPMorgan Chase & Co,Sector,Financial Services
Caterpillar Inc,Sector,Industrials
Boeing Co,Sector,Industrials
Amgen Inc,Sector,Healthcare
Dow Inc,Sector,Basic Materials
Apple Inc,Sector,Technology
Goldman Sachs Group Inc,Sector,Financial Services
Cisco Systems Inc,Sector,Technology
Microsoft Corp,Sector,Technology
Home Depot Inc,Sector,Consumer Cyclical
Procter & Gamble Co,Sector,Consumer Defensive
Merck & Co Inc,Sector,Healthcare
International Business Machines Corp,Sector,Technology
Honeywell International Inc,Sector,Industrials
Coca-Cola Co,Sector,Consumer Defensive
Chevron Corp,Sector,Energy
American Express Co,Sector,Financial Services
3M Co,Sector,Industrials
Salesforce.Com Inc,Head Quarter,"San Francisco, CALIFORNIA"
Walgreens Boots Alliance Inc,Head Quarter,"Deerfield, ILLINOIS"
Visa Inc,Head Quarter,"San Francisco, CALIFORNIA"
Nike Inc,Head Quarter,"Beaverton, OREGON"
UnitedHealth Group Inc,Head Quarter,"Hopkins, MINNESOTA"
Travelers Companies Inc,Head Quarter,"Saint Paul, MINNESOTA"
Verizon Communications Inc,Head Quarter,"New York City, NEW YORK"
Intel Corp,Head Quarter,"Santa Clara, CALIFORNIA"
Walmart Inc,Head Quarter,"Bentonville, ARKANSAS"
Johnson & Johnson,Head Quarter,"New Brunswick, NEW JERSEY"
Walt Disney Co,Head Quarter,"Burbank, CALIFORNIA"
Mcdonald's Corp,Head Quarter,"Chicago, ILLINOIS"
JPMorgan Chase & Co,Head Quarter,"New York City, NEW YORK"
Caterpillar Inc,Head Quarter,"Deerfield, ILLINOIS"
Boeing Co,Head Quarter,"Chicago, ILLINOIS"
Amgen Inc,Head Quarter,"Thousand Oaks, CALIFORNIA"
Dow Inc,Head Quarter,"Midland, MICHIGAN"
Apple Inc,Head Quarter,"Cupertino, CALIFORNIA"
Goldman Sachs Group Inc,Head Quarter,"New York City, NEW YORK"
Cisco Systems Inc,Head Quarter,"San Jose, CALIFORNIA"
Microsoft Corp,Head Quarter,"Redmond, WASHINGTON"
Home Depot Inc,Head Quarter,"Atlanta, GEORGIA"
Procter & Gamble Co,Head Quarter,"Cincinnati, OHIO"
Merck & Co Inc,Head Quarter,"Kenilworth, NEW JERSEY"
International Business Machines Corp,Head Quarter,"Armonk, NEW YORK"
Honeywell International Inc,Head Quarter,"Charlotte, NORTH CAROLINA"
Coca-Cola Co,Head Quarter,"Atlanta, GEORGIA"
Chevron Corp,Head Quarter,"San Ramon, CALIFORNIA"
American Express Co,Head Quarter,"New York City, NEW YORK"
3M Co,Head Quarter,"Saint Paul, MINNESOTA"
Salesforce.Com Inc,Founded,2004-06-23
Walgreens Boots Alliance Inc,Founded,2014-12-31
Visa Inc,Founded,2008-03-19
Nike Inc,Founded,1990-10-17
UnitedHealth Group Inc,Founded,1984-10-17
Travelers Companies Inc,Founded,1991-11-08
Verizon Communications Inc,Founded,1984-02-15
Intel Corp,Founded,1971-10-13
Walmart Inc,Founded,1972-08-25
Johnson & Johnson,Founded,1944-09-25
Walt Disney Co,Founded,1957-11-12
Mcdonald's Corp,Founded,1966-07-05
