Period,No. of Analysts,Avg. Estimate,Low Estimate,High Estimate,Year Ago EPS,symbol
Current_Quarter,39.0,1.37,1.32,1.46,0.84,CRM
Next_Quarter,35.0,1.31,1.04,1.54,0.98,CRM
Current_Year,46.0,4.93,4.89,5.02,4.78,CRM
Next_Year,47.0,5.8,4.65,6.78,4.93,CRM
Current_Quarter,12.0,1.1,1.08,1.13,1.59,WBA
Next_Quarter,12.0,1.12,1.08,1.19,0.96,WBA
Current_Year,13.0,4.5,4.42,4.6,5.04,WBA
Next_Year,12.0,4.83,4.72,5.14,4.5,WBA
Current_Quarter,28.0,1.98,1.89,2.03,1.79,V
Next_Quarter,28.0,2.09,2.0,2.22,1.98,V
Current_Year,31.0,8.44,7.95,8.79,7.5,V
Next_Year,34.0,9.67,8.73,10.18,8.44,V
Current_Quarter,26.0,0.54,0.4,0.69,0.87,NKE
Next_Quarter,26.0,0.8,0.61,1.08,0.9,NKE
Current_Year,33.0,3.14,2.92,3.56,3.75,NKE
Next_Year,33.0,4.0,3.1,4.75,3.14,NKE
Current_Quarter,21.0,6.13,5.39,7.33,5.49,UNH
Next_Quarter,21.0,6.25,4.91,6.55,5.57,UNH
Current_Year,24.0,24.93,24.65,25.23,22.19,UNH
Next_Year,23.0,28.28,27.5,29.31,24.93,UNH
Current_Quarter,20.0,3.68,3.0,4.17,4.22,TRV
Next_Quarter,19.0,2.6,1.99,2.99,2.57,TRV
Current_Year,21.0,14.37,13.5,15.25,12.42,TRV
Next_Year,21.0,16.76,15.72,18.05,14.37,TRV
Current_Quarter,19.0,1.19,1.12,1.23,1.35,VZ
Next_Quarter,18.0,1.18,1.13,1.25,1.31,VZ
Current_Year,23.0,4.7,4.55,4.89,5.18,VZ
Next_Year,22.0,4.74,4.25,4.96,4.7,VZ
Current_Quarter,28.0,-0.15,-0.22,-0.11,0.87,INTC
Next_Quarter,28.0,0.02,-0.18,0.32,0.29,INTC
Current_Year,34.0,0.55,-0.19,1.44,1.84,INTC
Next_Year,31.0,1.88,0.7,3.19,0.55,INTC
Current_Quarter,32.0,1.51,1.46,1.7,1.53,WMT
Next_Quarter,26.0,1.37,1.14,1.57,1.3,WMT
Current_Year,38.0,6.08,5.96,6.27,6.46,WMT
Next_Year,39.0,6.53,6.03,7.23,6.08,WMT
Current_Quarter,14.0,2.52,2.34,2.68,2.67,JNJ
Next_Quarter,14.0,2.61,2.54,2.72,2.59,JNJ
Current_Year,18.0,10.51,10.4,10.65,10.15,JNJ
Next_Year,17.0,10.92,10.49,11.4,10.51,JNJ
Current_Quarter,23.0,1.0,0.7,1.27,1.08,DIS
Next_Quarter,22.0,1.32,0.97,1.54,1.09,DIS
Current_Year,26.0,4.14,3.28,4.81,3.53,DIS
Next_Year,26.0,5.47,4.49,6.78,4.14,DIS
Current_Quarter,29.0,2.3,2.0,2.46,2.28,MCD
Next_Quarter,28.0,2.66,2.5,2.85,2.55,MCD
Current_Year,35.0,10.58,10.27,11.72,10.1,MCD
Next_Year,33.0,11.68,11.0,12.7,10.58,MCD
Current_Quarter,18.0,3.44,2.79,3.74,2.63,JPM
Next_Quarter,18.0,3.27,2.55,3.54,2.76,JPM
