Period,EPS Est.,EPS Actual,Difference,Surprise %,symbol
ThirdToLast_Quarter,0.74,0.84,0.1,13.50%,CRM
SecondToLast_Quarter,0.94,0.98,0.04,4.30%,CRM
NextToLast_Quarter,1.02,1.19,0.17,16.70%,CRM
Last_Quarter,1.21,1.4,0.19,15.70%,CRM
ThirdToLast_Quarter,1.4,1.59,0.19,13.60%,WBA
SecondToLast_Quarter,0.92,0.96,0.04,4.30%,WBA
NextToLast_Quarter,0.77,0.8,0.03,3.90%,WBA
Last_Quarter,1.14,1.16,0.02,1.80%,WBA
ThirdToLast_Quarter,1.64,1.79,0.15,9.10%,V
SecondToLast_Quarter,1.75,1.98,0.23,13.10%,V
NextToLast_Quarter,1.86,1.93,0.07,3.80%,V
Last_Quarter,2.01,2.18,0.17,8.50%,V
ThirdToLast_Quarter,0.71,0.87,0.16,22.50%,NKE
SecondToLast_Quarter,0.8,0.9,0.1,12.50%,NKE
NextToLast_Quarter,0.92,0.93,0.01,1.10%,NKE
Last_Quarter,0.64,0.85,0.21,32.80%,NKE
ThirdToLast_Quarter,5.38,5.49,0.11,2.00%,UNH
SecondToLast_Quarter,5.2,5.57,0.37,7.10%,UNH
NextToLast_Quarter,5.42,5.79,0.37,6.80%,UNH
Last_Quarter,5.17,5.34,0.17,3.30%,UNH
ThirdToLast_Quarter,3.6,4.22,0.62,17.20%,TRV
SecondToLast_Quarter,1.97,2.57,0.6,30.50%,TRV
NextToLast_Quarter,1.56,2.2,0.64,41.00%,TRV
Last_Quarter,3.4,3.4,0,0.00%,TRV
ThirdToLast_Quarter,1.34,1.35,0.01,0.70%,VZ
SecondToLast_Quarter,1.32,1.31,-0.01,-0.80%,VZ
NextToLast_Quarter,1.29,1.32,0.03,2.30%,VZ
Last_Quarter,1.19,1.19,0,0.00%,VZ
ThirdToLast_Quarter,0.8,0.87,0.07,8.70%,INTC
SecondToLast_Quarter,0.7,0.29,-0.41,-58.60%,INTC
NextToLast_Quarter,0.32,0.59,0.27,84.40%,INTC
Last_Quarter,0.2,0.1,-0.1,-50.00%,INTC
ThirdToLast_Quarter,1.5,1.53,0.03,2.00%,WMT
SecondToLast_Quarter,1.48,1.3,-0.18,-12.20%,WMT
NextToLast_Quarter,1.62,1.77,0.15,9.30%,WMT
Last_Quarter,1.32,1.5,0.18,13.60%,WMT
